Run,Config,Correct,File Size,Goodput,Sender Time,Recv Time,Sent Packets,Recv Packets,Sent Bytes,Recv Bytes,Overhead
1,config2.ini,True,578317,14750.7,39.21,38.98,580,571,591367,582187,13050
2,config2.ini,True,578317,13386.88,43.2,42.97,584,571,595447,582187,17130
3,config2.ini,True,578317,12978.61,44.56,44.32,584,570,595447,581167,17130
4,config2.ini,True,578317,13364.43,43.27,43.03,583,570,594427,581167,16110
5,config2.ini,True,578317,13350.85,43.32,43.08,583,571,594427,582187,16110
