Run,Config,Correct,File Size,Goodput,Sender Time,Recv Time,Sent Packets,Recv Packets,Sent Bytes,Recv Bytes,Overhead
1,config1.ini,N/A,590325,67863.04,8.7,N/A,651,N/A,663615,N/A,73290
2,config1.ini,True,590325,83914.15,7.03,6.8,621,592,633015,603435,42690
3,config1.ini,N/A,590325,75601.68,7.81,N/A,630,N/A,642195,N/A,51870
4,config1.ini,N/A,590325,72747.34,8.11,N/A,638,N/A,650355,N/A,60030
5,config1.ini,N/A,590325,71078.87,8.31,N/A,643,N/A,655455,N/A,65130
